name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Hotel Sofitel Los Angeles at Beverly Hills,90048,"1,249",8.2,8.5,8.3,8,8.6,7,8.4,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Popular The Grove Upscale Suite,90036,28,8.1,7.8,8.1,8,8,7.7,7.5,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(6.2 miles from center)
Popular Hollywood Marilyn Monroe Suite,90028,51,8.3,8.2,8.6,8.1,7.9,7.9,7.5,8.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Fabulous Apartment in GLENDON Next to UCLA Los Angeles *21,90024,5,8.5,9,9,8,8,7.5,9.5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Dream Hollywood,90028,312,8.5,8.9,8.6,8.6,8.7,7.6,7.8,8.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(5.6 miles from center)
Downtown Cosmopolitan Suites,90012,216,8.8,9.1,9.1,9,8.7,8.3,8,8.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,150 feet from center)"
Downtown LA Convention Center Suite,90015,34,7.9,7.9,8.2,8.1,7.8,7.6,8.5,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Global Luxury Suites at Marina Del Rey,90292,19,8.0,8.5,8.8,8.5,7.1,7,10,8.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center)
Perfect Apartment in Los Angeles UCLA *31,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(11.2 miles from center)
"New Luxury DT LA Apt- Pool, Gym, Staple center",90017,58,8.9,9.5,9.2,8.9,9,8.2,10,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Popular Hollywood Famous suite,90028,6,8.9,8.3,8.8,9.2,9.2,8.8,9.2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Gorgeous Apartment in Los Angeles UCLA *30,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(11.2 miles from center)
Venice Suites,90291,790,8.3,8.4,8.2,8.2,8.4,7.5,8.5,9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,(13.7 miles from center)
Courtyard by Marriott Santa Monica,90401,226,8.4,8.8,8.6,8.3,8.4,7.2,8.4,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,(14.3 miles from center)
Ramada by Wyndham Marina del Rey,90292,"1,501",8.0,8.4,8.1,7.6,8.4,7.4,7.6,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(12.4 miles from center)
Popular Hollywood Dazzling 2 Bedroom Suite,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown Highrise Luxury Living,90015,11,8.9,8.9,9.3,8.9,8.4,8.9,9.1,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Sunset Marquis Hotel,90069,254,8.9,9.2,9.2,8.8,9.1,8,5.5,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(8.1 miles from center)
The Orlando Hotel,90048,600,8.5,8.7,8.6,8.1,8.8,7.6,7.7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
"Marina Del Rey/Venice 2 Bed, 2 Bath. Pool, Gym",90292,6,9.7,9.6,9.6,10,9.6,9.6,9.6,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(12.4 miles from center)
Urban DTLA Top Level Penthouse,90015,9,9.4,9.2,8.9,9.7,10,9.2,9.5,8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
Popular Hollywood Fabulous Suite,90028,30,8.5,8.7,8.8,8.6,7.9,7.9,9,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Urban Hollywood Memories Penthouse,90028,8,9.1,8.9,8.9,8.9,9.7,8.6,9.4,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Embassy Suites Los Angeles - International Airport/North,90045,"1,080",8.5,8.6,8.7,8.6,8.7,8,8.4,8.6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(10.6 miles from center)
Luxury Penthouse in Marina Del Rey/ Venice Beach,90292,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,(13 miles from center)
Spacious 2 Bedroom in Santa Monica,90025,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(12.4 miles from center)
PREMIUM TWO BEDROOM CONDO w Free parking,90012,7,9.0,9.3,9.3,9.3,8.2,8.9,10,8.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,150 feet from center)"
Downtown LA 5beds Entertainer Pool,90015,23,8.5,9,8.9,8.9,7.8,8,9.4,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Le Meridien Delfina Santa Monica,90405,893,8.0,8.5,8.4,8,8.4,6.9,8.1,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,(13.7 miles from center)
Terrific Apartment in Westwood UCLA 14,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(11.2 miles from center)
High-Rise City View Condo,90010,12,8.5,8.8,8.8,9,7.7,7.7,9,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.8 miles from center)
W. HOLLYWOOD CHARMING 2BR/2BT SUITE / Free Parking / Rooftop Pool,90036,6,9.8,10,9.6,10,10,9.6,9.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Popular Audrey Hepburns Hollywood Suites,90015,64,8.6,8.6,8.8,8.6,8.4,8.2,10,9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(6.2 miles from center)
InterContinental - Los Angeles Downtown,90017,710,9.0,9.3,9.2,9,8.8,8.4,9.1,9.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center)
East West Comfort: Hollywood Walk of Fame Apartments,90028,12,8.2,8.3,8.1,7.5,8.1,7.9,6.3,9.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Urban Hollywood Modern Penthouse,90015,37,8.5,7.9,8.8,8.5,8.5,7.9,6.3,9.1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.8 miles from center)
Fairmont Miramar Hotel & Bungalows,90401,296,8.4,8.8,8.6,8.4,8.7,7,6,9.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,(14.9 miles from center)
Petit Ermitage,90069,588,8.7,9,8.9,8.8,8.7,7.6,8.6,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Popular Hollywood Presidential Penthouse,90028,24,8.6,9.2,9,8.2,7.7,7.8,10,9.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hotel Angeleno,90049,"1,841",8.1,8.6,8.1,8,8.5,7.4,8.4,7.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(12.4 miles from center)
LA Paradise Retreat Amazing Location,90036,6,9.5,9.2,9.6,10,10,8.8,9.6,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hilton Garden Inn Los Angeles Marina Del Rey,90292,401,8.5,8.9,8.7,8.3,8.8,7.6,8.1,8.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center)
Popular Hollywood Blvd Deluxe Suite,90028,12,8.3,8.2,8.6,8.6,7.3,7.3,9.6,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Modern Rustic Pad Hollywood Bowl,90068,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
Urban Hollywood Chateau Suite,90028,51,8.8,8.6,9,9.1,8.7,8.5,9.2,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Popular Downtown LA Extravagant Suite,90015,13,8.7,8.9,8.7,8.9,8.7,8.3,8.8,9.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center)
Downtown 1-Bedroom Apartment,90015,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.9 miles from center)
East West Comfort: Downtown LA Artistic Apartments,90012,9,8.2,8.9,8.1,7.8,8.9,7.2,7.5,8.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Popular Hollywood Views Massive Penthouse,90015,5,8.4,8.1,9.4,8.8,7,8.1,9.4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Melrose Place,90036,30,8.6,8.3,8.6,8.3,8.6,8.4,8.8,9.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(5.6 miles from center)
Popular Hollywood VIP Celebrity Penthouse,90028,31,8.4,8.2,8.8,8.2,7.7,8.1,9.4,9.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Walk-of-Fame Celebrity Suite,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown LA Convention Center Apartment,90015,35,8.6,8.7,8.6,8.9,8.3,8.6,8.8,8.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Sunset Boulevard Luxury Private Home Escape,90028,5,9.7,9.5,10,10,9.5,9.5,9.5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Abbot Kinney Apartment,90291,341,8.3,8.5,8.3,8.2,7.9,7.7,8.5,9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(13 miles from center)
High-End Hollywood Apartment,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
BRAND NEW Urban + Stylish Loft,90014,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0.8 miles from center)
Downtown Los Angeles Deluxe Penthouse,90028,16,8.5,8.6,8.9,8.9,7.8,8.5,10,8.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center)
Popular Hollywood Spectacular Double King Suite,90028,23,8.8,9,9.3,8.8,8.2,8.4,8.8,9.1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Walk of Fame Hostel,90028,"3,741",8.3,8.4,7.7,8,8.5,8.1,8.4,9.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,(6.2 miles from center)
The Westin Los Angeles Airport,90045,"1,573",8.1,8.4,8.5,8.1,8.3,7.5,6.4,8.2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(10.6 miles from center)
Comfort Inn Near Old Town Pasadena in Eagle Rock CA,90041,583,8.3,8.6,8.3,8.1,8.8,8.1,7.9,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,(6.2 miles from center)
Santa Monica Beach & Pier Apartment*26,90401,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,(14.3 miles from center)
Best Western Plus Hollywood Hills Hotel,90028,"1,204",8.2,8.5,8.2,8,8.5,7.5,8.6,8.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Modern Living,90012,62,8.9,8.9,9.2,9,8.7,8.8,9.3,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,150 feet from center)"
Cozy Silver Lake Getaway,90026,18,8.7,8.8,8.8,8.5,8.8,8.1,10,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3 miles from center)
Kimpton Hotel Palomar Los Angeles Beverly Hills,90024,627,8.0,8.5,8.3,7.7,8.3,7.1,6.2,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(10.6 miles from center)
Marina Vacation Rentals,90094,196,8.7,8.7,8.7,8.6,9.2,8.4,9,8.6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Popular Downtown LA Skyline View Suites,90017,31,8.3,8.1,8.2,8.2,8.8,8.2,7,8.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(1.2 miles from center)
Marina del Rey Marriott,90292,341,8.1,8.4,8.4,8,8.4,6.9,3.8,8.6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(13 miles from center)
Popular Hollywood VIP Executive Suite,90028,18,8.0,7.7,8.3,7.9,7.5,8.1,8.8,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Popular Hollywood Blvd Gorgeous Penthouse,90028,51,8.0,7.7,8.3,7.8,7.7,7.6,10,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Romantic Gateaway,90046,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Runway Apartment A105,90094,0,0,,,,,,,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Urban Downtown 3br 3ba Sky Pool Table Penthouse,90015,22,8.6,8.8,8.9,8.6,8.5,8,8.9,12,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
"Deluxe, Universal Studios / 2 rooms",90068,39,8.3,8.7,8.3,8.2,8,7.8,8.8,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Hotel Indigo - Los Angeles Downtown,90017,791,8.6,9,9,8.8,8.5,8,8.7,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
Popular Hollywood Blvd Majestic Suite,90028,6,9.0,8.3,9.2,9.6,8.3,8.8,9.6,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown LA Walking 5 beds pool,90015,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.4 miles from center)
Hollywood Hills Sanctuary,90046,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(6.8 miles from center)
Popular Hollywood Blvd Shining Suite,90028,13,8.3,8.3,8.7,8.1,8.3,7.7,9.1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood 2Bed 2Bath,90038,99,8.1,7.7,8.3,8.2,8.7,8.2,8.5,7.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5 miles from center)
Sunset Home,90069,13,8.2,8.3,7.7,7.9,8.3,8.3,8.7,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Hollywood Walk of Fame Apartment,90028,7,8.6,8.6,8.9,7.9,8.2,8.6,9.7,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Luxury Condo with Parking,90036,8,8.2,8.8,8.5,7.8,7.5,7.8,8.8,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
The Los Angeles Athletic Club,90014,671,8.6,8.8,8.8,8.8,8.7,8,8.4,8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,(0.8 miles from center)
Hollywood Spring Deluxe,90028,170,9.0,9.1,9.1,9.2,9.2,8.7,9.3,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(5 miles from center)
DTLA Convention Center Stylish Apartment,90015,10,8.6,8.8,8.5,9,8.5,8,9,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Popular Hollywood Celebrity Suite,90028,46,8.2,8.4,8.3,7.9,7.7,7.8,8.2,9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
BLVD Hotel & Suites,90068,"1,311",8.0,8.2,8,7.6,8.2,7.4,8.4,8.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Kimpton La Peer Hotel,90069,48,8.8,9.5,8.7,8.8,9.2,7.8,10,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Beverly Hills Plaza Hotel,90024,789,8.4,8.7,8.6,8.3,8.5,7.7,8.4,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center)
Popular Downtown LA Presidential Pool Table High Rise,90015,26,8.2,7.6,8.4,8.3,7.8,8,8.3,9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(1.1 miles from center)
Hampton Inn Los Angeles Int'l Airport/Hawthorne,90250,"2,092",8.5,9,8.8,8.6,8.8,8.2,8.1,7.8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center)
Luxe Rodeo Drive Hotel,90210,753,8.2,8.4,8.1,7.8,8.5,7.2,7.8,9.4,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,(8.7 miles from center)
Popular Downtown LA Governor Suite,90017,26,9.2,9.1,9.3,9.3,9,9.1,10,9.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
Residence Inn by Marriott Los Angeles L.A. LIVE,90015,311,8.7,8.9,8.9,8.8,8.9,7.8,9,8.8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(1.4 miles from center)
Luxury Home In The Heart of LA,90017,29,9.4,9.6,9.5,9.3,9.4,9.3,10,9.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center)
DTLA Staples Center Suite,90015,20,8.2,8.4,8.4,8.1,7.6,7.5,9.2,9.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
Courtyard Los Angeles Westside,90230,539,8.2,8.7,8.5,8.2,8.3,7.4,8.2,8.1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Urban Hollywood Blvd Burgundy Suite,90028,0,0,,,,,,,,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(5 miles from center)
